Crop_Year,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
2010,Manipur,212680.0,480.24,2160.5,35328274.8,51043.2,1.945555556
2010,Meghalaya,108285.0,207.021,9359.099999999999,17987221.349999998,25988.4,1.8119047620000002
2010,Mizoram,40692.0,47.202,8216.099999999999,6759348.12,9766.08,1.09375
2010,Nagaland,181390.0,381.36,3543.6,30130692.900000002,43533.6,2.215909091
2010,Odisha,4226000.0,6824.0,3875.7000000000003,701980860.0,1014240.0,1.5583476189999999
2010,Puducherry,20014.0,51.96,4303.762500000001,3324525.54,4803.360000000001,2.94
2010,Punjab,2831000.0,10837.0,392.7,470257410.0,679440.0,3.834
2010,Sikkim,12140.0,20.973,2527.0,2016575.4,2913.6,1.6225
2010,Tamil Nadu,1905726.0,5792.415,1095.2,316560145.9,457374.24,3.597419355
2010,Tripura,264558.0,702.473,2348.3,43945729.38,63493.92,2.5725
2010,Uttar Pradesh,5657070.0,11992.299,1485.2,939695897.7099999,1357696.8,2.0425694444999998
2010,Uttarakhand,285693.0,545.586,2838.0,47456464.23,68566.31999999999,1.8953846155
2010,West Bengal,4944146.0,13389.61,3288.0,821272092.02,1186595.04,2.5642592593333333
2011,Andhra Pradesh,4095848.0,12891.792,1723.8,686136457.0,1351629.84,2.9704545455
2011,Arunachal Pradesh,123500.0,159.543,2193.7,20688720.0,40755.0,1.21875
2011,Assam,2545706.0,4715.678,5230.200000000001,426456669.1,840082.98,1.851723647
2011,Bihar,3350936.0,8237.971,3291.2999999999997,561348798.74,1105808.88,1.9248478723333333
2011,Chhattisgarh,3939826.0,6300.825,1302.7,659999651.5,1300142.58,1.527777778
2011,Delhi,7248.0,20.198,641.3954545,1214184.96,2391.84,2.79
2011,Goa,47237.0,121.991,6680.79091,7913142.24,15588.21,2.5975
2011,Gujarat,835500.0,1789.7,1781.0,139962960.0,275715.0,2.5369444445
2011,Haryana,1234094.0,3574.3,471.5409091,206735426.9,407251.02,2.63047619
2011,Himachal Pradesh,75043.0,108.648,1108.3,12571203.36,24764.19,1.545454545
2011,Jammu and Kashmir,262169.0,544.396,887.6,43918550.88,86515.77,2.0225
2011,Jharkhand,982701.0,1376.324,2749.4,164622071.48000002,324291.33,1.1729528985
2011,Karnataka,1416135.0,4181.619,3536.959092,237230935.2,467324.55,2.6707590186666668
2011,Kerala,208159.74,568.993,9105.3,34870919.644999996,68692.7142,2.475989011
2011,Madhya Pradesh,1693231.0,2273.045,852.6,283650057.1,558766.23,1.400416667
2011,Maharashtra,1544200.0,2848.9,2348.19091,258684384.0,509586.0,1.8737103175
2011,Manipur,223670.0,591.0,1533.561905,37469198.4,73811.1,2.34
2011,Meghalaya,108875.0,222.731,12249.313635,18238740.0,35928.75,1.830476190333333
2011,Mizoram,38976.0,52.895,7318.022727,6529259.52,12862.08,1.8166666666666664
